uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
61650fda-8fba-432b-b24c-654372a6bb6a,D01,HOPB,HOPB.AOS.S2,2018-04-25T14:35Z,2018-04-25T14:45Z,HOPB.SS.20180425,,HOPB.SS.20180425.WAT,A00000000555,HOPB.SS.20180425.AIR,A00000000475,,99,40,20,18,0,,20200224T171614Z
618a9f7a-e7a6-463e-8135-5677595aff31,D01,HOPB,HOPB.AOS.S2,2018-05-14T14:00Z,2018-05-14T13:50Z,HOPB.SS.20180514,,HOPB.SS.20180514.WAT,A00000000179,HOPB.SS.20180514.AIR,A00000000178,,99.1,40,20,18,0,,20200224T171411Z
b9a0fb04-936e-4b57-b9a1-d4e987bd9ddc,D01,HOPB,HOPB.AOS.S2,2018-05-22T14:33Z,2018-05-22T14:24Z,HOPB.SS.20180522,,HOPB.SS.20180522.WAT,A00000000732,HOPB.SS.20180522.AIR,A00000000524,,99.8,40,20,18,0,,20200224T171411Z
9224fdd8-c6f2-4d8e-9f8d-797f8a3ca0ed,D01,HOPB,HOPB.AOS.S2,2018-06-04T14:50Z,2018-06-04T14:59Z,HOPB.SS.20180604,,HOPB.SS.20180604.WAT,A00000001100,HOPB.SS.20180604.AIR,A00000001117,,98.7,40,20,18,0,,20200224T171141Z
5333f442-22b6-4247-8080-d7655683c061,D01,HOPB,HOPB.AOS.S2,2018-06-19T13:44Z,2018-06-19T14:00Z,HOPB.SS.20180619,,HOPB.SS.20180619.WAT,A00000000664,HOPB.SS.20180619.AIR,A00000000681,,98.7,40,20,16,0,,20200224T171141Z
0005855d-bcc8-4002-8eea-4a443ca7b728,D01,HOPB,HOPB.AOS.S2,2018-07-11T14:20Z,2018-07-11T14:34Z,HOPB.SS.20180711,,HOPB.SS.20180711.WAT,A00000000839,HOPB.SS.20180711.AIR,A00000000840,,99.3,40,20,17,0,,20200224T172204Z
14d04f8d-1ddf-45e2-95a9-d31080e2da25,D01,HOPB,HOPB.AOS.S2,2018-07-17T15:16Z,2018-07-17T15:39Z,HOPB.SS.20180717,,HOPB.SS.20180717.WAT,A00000000909,HOPB.SS.20180717.AIR,A00000000908,,98.8,40,20,17,0,,20200224T172204Z
0e07f229-da9e-4807-9712-a09dc741e12a,D01,HOPB,HOPB.AOS.S2,2018-08-14T12:57Z,2018-08-14T13:02Z,HOPB.SS.20180814,,HOPB.SS.20180814.WAT,,HOPB.SS.20180814.AIR,,,99.1,40,20,17,0,,20200224T164546Z
081a12e0-5c81-4d4e-8a9c-bcb2cf882877,D01,HOPB,HOPB.AOS.S2,2018-09-06T13:08Z,2018-09-06T13:22Z,HOPB.SS.20180906,,HOPB.SS.20180906.WAT,A00000032161,HOPB.SS.20180906.AIR,A00000032160,,99.8,40,20,18,0,,20200224T164514Z
c6f8d152-8076-474b-87ce-bea803a9f259,D01,HOPB,HOPB.AOS.S2,2018-09-25T13:00Z,2018-09-25T13:11Z,HOPB.SS.20180925,,HOPB.SS.20180925.WAT,A00000032226,HOPB.SS.20180925.AIR,A00000032225,,100.9,40,20,18,0,,20200224T164514Z
050829c3-1d46-4587-98a5-d6f0e4810198,D01,HOPB,HOPB.AOS.S2,2018-10-09T15:06Z,2018-10-09T15:30Z,HOPB.SS.20181009,,HOPB.SS.20181009.WAT,A00000032613,HOPB.SS.20181009.AIR,A00000032612,,100.3,40,20,18,0,,20200224T164112Z
a39624f0-c6ff-40f7-b907-421e864035a8,D01,HOPB,HOPB.AOS.S2,2018-11-06T14:26Z,2018-11-06T14:17Z,HOPB.SS.20181106,,HOPB.SS.20181106.WAT,A00000032851,HOPB.SS.20181106.AIR,A00000032852,,99.1,40,20,18,0,,20200224T163937Z
4f05c305-585e-4e05-b43d-229aacb9cd76,D01,HOPB,HOPB.AOS.S2,2018-11-13T15:44Z,2018-11-13T07:53Z,HOPB.SS.20181113,,HOPB.SS.20181113.WAT,A00000033008,HOPB.SS.20181113.AIR,A00000033009,,98.7,40,20,18,0,,20200224T163937Z
bc527bbb-15c9-4e57-80c4-adf7ed04907c,D01,HOPB,HOPB.AOS.S2,2018-12-04T14:57Z,2018-12-04T15:12Z,HOPB.SS.20181204,,HOPB.SS.20181204.WAT,A00000032956,HOPB.SS.20181204.AIR,A00000032973,,98.6,40,20,18,0,,20200224T164708Z
032b1df1-b7dc-4a9d-bcf9-df16169a60e1,D01,HOPB,HOPB.AOS.S2,2018-12-10T14:51Z,2018-12-10T15:13Z,HOPB.SS.20181210,,HOPB.SS.20181210.WAT,A00000032938,HOPB.SS.20181210.AIR,A00000032988,,99.3,40,20,19,0,,20200224T164708Z
27a42385-2476-455a-a43e-1f5bb34e1b81,D01,HOPB,HOPB.AOS.S2,2019-01-24T14:58Z,2019-01-24T15:13Z,HOPB.SS.20190124,,HOPB.SS.20190124.WAT,A00000032971,HOPB.SS.20190124.AIR,A00000032987,,97.5,38,20,18,0,,20200224T172047Z
