uid,domainID,siteID,namedLocation,collectDate,analysisDate,internalLabID,internalSampleName,internalLabFileName,sampleID,sampleCode,concentrationCH4,runDetectionLimitCH4,precisionCH4,concentrationCO2,runDetectionLimitCO2,precisionCO2,concentrationN2O,runDetectionLimitN2O,precisionN2O,sampleCondition,laboratoryName,analyzedBy,externalRemarks,volumeGasAnalyzed,gasStandardAccuracy,gasCheckStandardPercentDev,gasCheckStandardQF,publicationDate
e2b20d8a-6605-4e80-931d-4af8ba79ac56,D03,FLNT,FLNT,2018-11-27T15:28Z,2019-02-15,33,FLNT.C0.20181127.AIR,C:\Chem32\1\Data\NEON_GHG 2019-02-15\56.D,FLNT.C0.20181127.AIR,A00000037376,2.2338433,0.2,1.87,797.6322063,2.2,0.234,0.5209087,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T173827Z
bec1f627-dd08-47c4-b6ed-9306794f289f,D03,FLNT,FLNT,2018-11-27T15:28Z,2019-02-15,34,FLNT.C0.20181127.WAT,C:\Chem32\1\Data\NEON_GHG 2019-02-15\58.D,FLNT.C0.20181127.WAT,A00000037375,12.0700736,0.2,1.87,1341.9381866,2.2,0.234,0.6712112,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T173827Z
2a6f5571-a674-483d-9408-fcf25738dd65,D03,FLNT,FLNT,2019-01-22T20:00Z,2019-02-20,17,FLNT.c0.20190122.AIR,C:\Chem32\1\Data\NEON_GHG 2019-02-19\91.D,FLNT.C0.20190122.AIR,A00000037352,2.2023239,0.2,1.87,662.0454308,2.2,0.234,0.4433624,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T170052Z
d8b1c39a-e9f9-44bc-a9c8-0f55d8512042,D03,FLNT,FLNT,2019-01-22T20:00Z,2019-02-20,18,FLNT.c0.20190122.WAT,C:\Chem32\1\Data\NEON_GHG 2019-02-19\93.D,FLNT.C0.20190122.WAT,A00000037302,10.3730747,0.2,1.87,1493.3977697,2.2,0.234,0.802305,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T170052Z
eeb88e05-684e-4063-a186-c0f343fe0c18,D03,FLNT,FLNT,2019-02-05T18:26Z,2019-04-10,27,FLNT.c0.20190205.air,C:\Chem32\1\Data\NEON_GHG 2019-04-10\41.D,FLNT.C0.20190205.AIR,A00000037355,2.0660965,0.2,1.87,816.3105921,2.2,0.234,0.4424884,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T170133Z
522fc015-b44b-429b-bc50-162f48aa6122,D03,FLNT,FLNT,2019-02-05T18:26Z,2019-04-10,28,FLNT.c0.20190205.wat,C:\Chem32\1\Data\NEON_GHG 2019-04-10\43.D,FLNT.C0.20190205.WAT,A00000037338,10.5696143,0.2,1.87,1820.3532004,2.2,0.234,0.7216925,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T170133Z
ffc49941-ef5f-4451-a9ea-9cd4e74d1f51,D03,FLNT,FLNT,2019-02-12T18:26Z,2019-04-10,26,FLNT.c0.20190212.wat,C:\Chem32\1\Data\NEON_GHG 2019-04-10\40.D,FLNT.C0.20190212.WAT,A00000037356,10.7705353,0.2,1.87,1527.1533183,2.2,0.234,0.8327185,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T170133Z
32be58eb-7459-4efd-9d1e-df9a4d01f4ee,D03,FLNT,FLNT,2019-02-12T18:26Z,2019-04-10,25,FLNT.c0.20190212.air,C:\Chem32\1\Data\NEON_GHG 2019-04-10\38.D,FLNT.C0.20190212.AIR,A00000037305,1.798141,0.2,1.87,996.6665095,2.2,0.234,0.5757863,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T170133Z
cf290ad3-5b88-416c-b766-7edea97f06ca,D03,FLNT,FLNT,2019-02-26T14:27Z,2019-04-10,22,FLNT.c0.20190226.wat,C:\Chem32\1\Data\NEON_GHG 2019-04-10\30.D,FLNT.C0.20190226.WAT,A00000037513,10.0500123,0.2,1.87,1084.6824291,2.2,0.234,0.5380031,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T170133Z
102bff6b-050f-4ebd-867f-f25604a82064,D03,FLNT,FLNT,2019-02-26T14:27Z,2019-04-10,21,FLNT.c0.20190226.air,C:\Chem32\1\Data\NEON_GHG 2019-04-10\28.D,FLNT.C0.20190226.AIR,A00000037514,2.100393,0.2,1.87,619.0679654,2.2,0.234,0.4114135,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T170133Z
