uid,domainID,siteID,namedLocation,collectDate,referenceAirSampleID,referenceAirSampleCode,airVolumeSample,remarks,lowAirVolumeQF,sdgAirDataQF,publicationDate
4a579ea2-ab18-4b4a-8e0b-5bc5d923dd3b,D01,HOPB,HOPB,2020-02-25T15:49Z,HOPB.SS.20200225.AIR,A00000126225,18,,0,,20200406T152333Z
ccdd2300-83ac-4e78-864c-5d7396e84441,D01,HOPB,HOPB,2020-03-04T14:27Z,HOPB.SS.20200304.AIR,A00000126402,18,,0,,20200504T162953Z
f7e2bc94-d32c-43f8-9678-ff38c54f3b87,D01,HOPB,HOPB,2020-03-18T16:21Z,HOPB.SS.20200318.AIR,A00000126400,18,,0,,20200504T162953Z
9cd50885-cc97-433f-9eeb-252db9844c83,D03,FLNT,FLNT,2017-03-07T17:30Z,FLNT.C0.20170307.AIR,,18,,0,,20200224T170056Z
82cc5b94-eacf-4186-9755-4101cf07a934,D03,FLNT,FLNT,2017-03-14T14:38Z,FLNT.C0.20170314.AIR,,15,,0,,20200224T170056Z
97264cdf-b5d3-424d-9be5-47085553f48f,D03,FLNT,FLNT,2017-03-29T13:43Z,FLNT.C0.20170329.AIR,,16,,0,,20200224T170056Z
3f4b8778-87b3-4d99-b77b-676b1a7b7da4,D03,FLNT,FLNT,2017-04-11T14:35Z,FLNT.C0.20170411.AIR,,17,,0,,20200224T170120Z
b6c24dee-231b-4998-99cb-4b9b3d232ccd,D03,FLNT,FLNT,2017-04-18T14:15Z,FLNT.C0.20170418.AIR,,16,,0,,20200224T170120Z
a383df23-612c-4f85-bbee-e5238f53adaf,D03,FLNT,FLNT,2017-04-25T15:16Z,FLNT.C0.20170425.AIR,,18,,0,,20200224T170120Z
605465b6-0404-4b37-9bdb-2b8170e8c2f9,D03,FLNT,FLNT,2017-05-09T14:54Z,FLNT.C0.20170509.AIR,,16,,0,,20200224T171031Z
36806ea2-ab77-466b-b84a-b7100441959e,D03,FLNT,FLNT,2017-05-16T14:28Z,FLNT.C0.20170516.AIR,,16,,0,,20200224T171031Z
59657a4f-e487-42cd-a1f6-ecf99d7bb7be,D03,FLNT,FLNT,2017-06-13T13:45Z,FLNT.C0.20170613.AIR,,18,,0,,20200224T171113Z
ff5ea923-013f-4594-9b5e-668f731780fd,D03,FLNT,FLNT,2017-06-20T14:48Z,FLNT.C0.20170620.AIR,,18,,0,,20200224T171113Z
dc9887b6-61b3-4a3d-80f7-aad47488a01c,D03,FLNT,FLNT,2017-08-16T14:27Z,FLNT.C0.20170816.AIR,,16,,0,,20200224T172037Z
8e3b587b-07b0-4fc0-9df3-9b9a22dace4a,D03,FLNT,FLNT,2017-09-14T15:13Z,FLNT.C0.20170914.AIR,,16,,0,,20200224T172113Z
