uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
85d0b45a-26e0-4e25-860a-cc18c400f54d,D13,COMO,COMO.AOS.S2,2019-06-12T16:16Z,2019-06-12T16:14Z,COMO.SS.20190612,,COMO.SS.20190612.WAT,A00000089887,COMO.SS.20190612.AIR,A00000089886,,71.6,40,20,15,0,,20200224T171505Z
f63d44cc-7df4-4327-b928-e5fd0c4c947c,D13,COMO,COMO.AOS.S2,2019-06-18T16:29Z,2019-06-18T16:31Z,COMO.SS.20190618,,COMO.SS.20190618.WAT,A00000089907,COMO.SS.20190618.AIR,A00000089890,,71.2,40,20,18,0,,20200224T171505Z
30e06767-dc47-4d2e-8ab0-423edc7f29ce,D13,COMO,COMO.AOS.S2,2019-06-20T15:41Z,2019-06-20T15:45Z,COMO.SS.20190620,,COMO.SS.20190620.WAT,A00000090741,COMO.SS.20190620.AIR,A00000090758,,70.6,40,20,16,0,,20200224T171505Z
23e3e161-feda-416f-8b6a-1d27727f425e,D13,COMO,COMO.AOS.S2,2019-06-25T15:49Z,2019-06-25T15:28Z,COMO.SS.20190625,,COMO.SS.20190625.WAT,A00000090740,COMO.SS.20190625.AIR,A00000090779,,71.1,40,20,16,0,,20200224T171505Z
d0d59faa-d0b4-4941-adb3-e1c58334ae1f,D13,COMO,COMO.AOS.S2,2019-06-27T16:10Z,2019-06-27T16:23Z,COMO.SS.20190627,,COMO.SS.20190627.WAT,A00000090771,COMO.SS.20190627.AIR,A00000090754,,71.4,40,20,17,0,,20200224T171505Z
ec5a00d6-2bc9-461a-9e06-17fb58ac5ada,D13,COMO,COMO.AOS.S2,2019-07-08T16:17Z,2019-07-08T16:30Z,COMO.SS.20190708,,COMO.SS.20190708.WAT,A00000091037,COMO.SS.20190708.AIR,A00000091002,,71,40,20,18,0,,20200224T170705Z
b8481142-38e8-430f-a038-cf7c8478b2ab,D13,COMO,COMO.AOS.S2,2019-07-11T14:59Z,2019-07-11T14:59Z,COMO.SS.20190711,,COMO.SS.20190711.WAT,A00000090747,COMO.SS.20190711.AIR,A00000090746,,71.8,40,20,18,0,,20200224T170705Z
f9a24063-a66a-4126-9fae-14d705ad6a7e,D13,COMO,COMO.AOS.S2,2019-07-16T16:50Z,2019-07-16T16:58Z,COMO.SS.20190716.3,,COMO.SS.20190716.WAT.3,A00000091111,COMO.SS.20190716.AIR,A00000090748,,71.4,40,20,18,0,,20200224T170705Z
1193429a-cc74-4231-83fc-535d922f8724,D13,COMO,COMO.AOS.S2,2019-07-16T16:50Z,2019-07-16T16:58Z,COMO.SS.20190716.2,,COMO.SS.20190716.WAT.2,A00000091109,COMO.SS.20190716.AIR,A00000090748,,71.4,40,20,18,0,,20200224T170705Z
25e4e41f-9b31-49ae-936f-e90dadb52002,D13,COMO,COMO.AOS.S2,2019-07-16T16:50Z,2019-07-16T16:58Z,COMO.SS.20190716,,COMO.SS.20190716.WAT,A00000091107,COMO.SS.20190716.AIR,A00000090748,,71.4,40,20,18,0,,20200224T170705Z
